"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","traveltime","failures","schoolsup","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","health","guardian","famsup","studytime","paid.mat","absences.mat","G1.mat","G2.mat","G3.mat","paid.por","absences.por","G1.por","G2.por","G3.por"
"27","GP","F",15,"U","GT3","T",3,2,"health","services","home","yes","yes",1,1,"no","no","yes","no",3,3,2,1,1,3,"father","yes",2,NA,NA,NA,NA,NA,"no",2,11,11,11
"28","GP","F",15,"U","GT3","T",3,2,"health","services","home","yes","yes",1,3,"no","no","yes","no",3,3,2,1,1,3,"father","yes",2,"no",0,6,7,0,NA,NA,NA,NA,NA
"29","GP","F",15,"U","GT3","T",3,2,"services","other","home","yes","yes",2,0,"yes","no","yes","no",4,3,5,1,1,2,"mother","yes",2,"yes",26,7,6,6,"no",16,11,10,10
"30","GP","F",15,"U","GT3","T",4,2,"health","services","home","yes","yes",1,0,"no","yes","yes","yes",3,2,2,1,1,5,"mother","yes",3,"yes",2,15,14,15,"no",0,14,14,14
"31","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","yes","yes",1,0,"no","yes","yes","no",5,3,3,1,3,1,"mother","yes",3,"no",4,13,14,14,"no",4,15,15,15
"32","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","yes","yes",1,0,"no","yes","yes","no",4,5,5,1,3,1,"mother","no",1,"yes",4,16,17,18,"no",6,14,13,13
"33","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","yes","yes",1,0,"no","yes","yes","yes",4,3,3,1,1,5,"mother","yes",3,"no",0,11,0,0,"no",4,13,14,15
"34","GP","F",15,"U","GT3","T",4,4,"services","services","course","yes","yes",1,0,"yes","no","yes","no",3,3,4,2,3,5,"mother","yes",1,"yes",0,8,10,11,"no",0,13,12,12
"35","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","yes","yes",2,0,"no","no","yes","yes",4,4,4,2,3,5,"father","no",2,NA,NA,NA,NA,NA,"no",4,12,11,12
"36","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","yes","yes",2,2,"no","no","yes","yes",4,4,4,2,3,5,"father","no",2,"yes",6,7,9,8,NA,NA,NA,NA,NA
"37","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","no","yes",1,0,"yes","yes","yes","no",4,4,4,1,1,3,"father","yes",2,NA,NA,NA,NA,NA,"no",2,13,12,12
"38","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","no","yes",1,1,"yes","yes","yes","no",4,4,4,1,1,3,"father","yes",2,"no",2,7,7,7,NA,NA,NA,NA,NA
"39","GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","yes","yes",1,0,"no","no","yes","no",3,3,3,1,2,2,"mother","yes",2,"yes",0,10,8,9,"no",2,14,14,14
"40","GP","F",15,"U","GT3","T",4,4,"teacher","services","course","yes","yes",1,0,"no","yes","yes","no",4,2,2,1,1,5,"mother","yes",3,"yes",2,9,11,11,"no",2,13,13,13
"41","GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes",2,0,"no","yes","yes","no",4,3,2,1,1,5,"mother","no",1,"no",0,16,16,15,"no",6,13,14,14
"42","GP","F",15,"U","LE3","A",2,1,"at_home","other","home","yes","yes",2,0,"no","yes","no","yes",4,4,2,1,1,5,"mother","yes",1,NA,NA,NA,NA,NA,"no",0,11,10,10
"43","GP","F",15,"U","LE3","A",3,3,"other","other","other","yes","yes",1,0,"no","no","yes","no",5,3,4,4,4,1,"mother","no",1,"yes",6,10,13,13,"no",0,13,12,13
"44","GP","F",15,"U","LE3","A",3,4,"other","other","home","yes","yes",1,0,"yes","yes","yes","yes",5,3,2,1,1,1,"mother","no",2,"no",0,7,10,11,"no",0,10,11,11
"45","GP","F",15,"U","LE3","A",4,3,"other","other","course","yes","yes",1,0,"yes","yes","yes","yes",5,2,2,1,1,5,"mother","yes",2,"yes",8,8,8,6,"yes",4,10,11,11
"46","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","yes","yes",1,0,"yes","no","yes","no",4,3,2,2,3,3,"mother","no",2,NA,NA,NA,NA,NA,"no",6,12,13,12
"47","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","yes","yes",1,3,"yes","no","yes","no",4,3,2,2,3,3,"mother","no",2,"yes",10,7,8,10,NA,NA,NA,NA,NA
"48","GP","F",15,"U","LE3","T",3,2,"services","other","reputation","yes","yes",1,0,"no","no","yes","no",4,4,4,1,1,5,"mother","yes",2,"yes",10,7,6,6,"no",4,12,11,11
"49","GP","F",15,"U","LE3","T",4,2,"health","other","other","yes","yes",1,0,"no","no","yes","no",4,3,3,1,1,5,"mother","yes",2,"yes",2,11,13,13,"no",0,16,14,16
"50","GP","F",15,"U","LE3","T",4,3,"services","services","reputation","yes","yes",1,0,"yes","yes","yes","yes",4,4,4,2,4,2,"father","no",2,"no",0,10,10,10,"no",0,13,12,12
"51","GP","F",16,"R","GT3","T",1,1,"at_home","other","course","yes","no",4,0,"no","no","yes","no",5,1,3,1,1,3,"mother","yes",2,NA,NA,NA,NA,NA,"no",0,14,13,13
"52","GP","F",16,"R","GT3","T",1,1,"other","services","reputation","yes","no",2,0,"no","yes","yes","yes",3,3,3,1,2,1,"mother","yes",1,NA,NA,NA,NA,NA,"no",8,12,11,11
"53","GP","F",16,"R","GT3","T",2,2,"services","services","reputation","no","yes",2,0,"no","yes","yes","no",5,3,5,1,1,5,"mother","yes",4,"yes",6,10,10,11,"no",6,13,13,13
"54","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","yes","yes",1,0,"yes","yes","yes","no",4,1,2,1,1,2,"father","yes",3,NA,NA,NA,NA,NA,"no",4,11,11,11
"55","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","yes","yes",1,1,"yes","yes","yes","no",4,1,2,1,1,2,"father","yes",3,"no",0,7,10,10,NA,NA,NA,NA,NA
"56","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","yes","no",1,0,"no","yes","yes","no",2,4,4,2,3,4,"mother","yes",2,"no",6,10,11,11,"no",0,17,16,16
"57","GP","F",16,"U","GT3","A",2,1,"other","other","other","yes","yes",1,0,"no","yes","yes","yes",5,3,4,1,1,2,"mother","no",2,"yes",8,8,9,10,"no",2,12,13,12
"58","GP","F",16,"U","GT3","A",2,2,"other","other","home","yes","no",1,1,"no","no","yes","no",5,3,4,1,1,5,"mother","no",1,NA,NA,NA,NA,NA,"no",12,13,11,11
"59","GP","F",16,"U","GT3","A",2,2,"other","other","reputation","yes","yes",1,0,"yes","no","yes","no",3,3,4,1,1,4,"mother","yes",2,"yes",0,12,13,14,"no",0,13,13,13
"60","GP","F",16,"U","GT3","A",3,1,"services","other","course","yes","yes",1,0,"no","no","yes","no",2,3,3,2,2,4,"mother","yes",2,NA,NA,NA,NA,NA,"no",2,11,11,12
"61","GP","F",16,"U","GT3","A",3,1,"services","other","course","yes","yes",1,3,"no","no","yes","no",2,3,3,2,2,4,"mother","yes",2,"yes",5,7,7,7,NA,NA,NA,NA,NA
"62","GP","F",16,"U","GT3","A",3,3,"other","other","course","no","yes",2,0,"no","yes","yes","yes",4,3,2,1,1,5,"other","yes",1,NA,NA,NA,NA,NA,"no",4,9,9,10
"63","GP","F",16,"U","GT3","A",3,3,"other","other","course","no","yes",2,2,"no","yes","yes","yes",4,3,2,1,1,5,"other","yes",1,"no",0,4,0,0,NA,NA,NA,NA,NA
"64","GP","F",16,"U","GT3","A",3,4,"services","other","course","yes","yes",1,0,"no","no","yes","no",3,2,1,1,4,5,"father","no",1,"no",16,12,11,11,"no",12,15,13,14
"65","GP","F",16,"U","GT3","A",4,1,"other","other","home","yes","yes",1,0,"no","yes","yes","yes",5,3,3,1,2,5,"mother","no",2,NA,NA,NA,NA,NA,"no",0,14,13,13
"66","GP","F",16,"U","GT3","T",1,1,"at_home","other","home","yes","no",2,0,"no","no","yes","no",4,3,2,1,4,5,"mother","yes",1,"yes",6,9,9,10,"no",2,12,13,13
"67","GP","F",16,"U","GT3","T",1,1,"services","services","course","no","yes",4,0,"yes","yes","yes","yes",5,5,5,5,5,5,"father","yes",1,"no",6,10,8,11,"no",0,10,10,16
"68","GP","F",16,"U","GT3","T",1,2,"other","other","course","yes","yes",1,0,"no","no","no","no",5,3,5,1,2,5,"mother","no",1,NA,NA,NA,NA,NA,"no",4,12,11,11
"69","GP","F",16,"U","GT3","T",1,3,"at_home","services","home","no","yes",1,0,"no","yes","yes","yes",4,3,5,1,1,3,"mother","no",2,NA,NA,NA,NA,NA,"no",0,14,13,13
"70","GP","F",16,"U","GT3","T",1,3,"at_home","services","home","no","yes",1,3,"no","yes","yes","yes",4,3,5,1,1,3,"mother","no",2,"no",0,8,7,0,NA,NA,NA,NA,NA
"71","GP","F",16,"U","GT3","T",2,1,"other","other","course","yes","no",1,0,"no","no","yes","yes",4,3,5,1,1,5,"mother","yes",2,"yes",2,8,9,10,"no",0,13,12,12
"72","GP","F",16,"U","GT3","T",2,1,"other","other","home","yes","yes",1,0,"no","no","yes","yes",4,5,2,1,1,5,"mother","no",1,"no",20,13,12,12,"no",4,9,10,10
"73","GP","F",16,"U","GT3","T",2,2,"at_home","other","home","yes","yes",1,1,"yes","yes","yes","no",3,1,2,1,1,5,"mother","no",2,"no",6,10,13,13,"no",12,8,10,10
"74","GP","F",16,"U","GT3","T",2,2,"other","other","home","no","yes",1,0,"no","no","yes","no",5,1,5,1,1,4,"mother","yes",2,"yes",0,6,7,0,"no",0,12,12,13
"75","GP","F",16,"U","GT3","T",2,2,"other","other","home","yes","yes",1,0,"no","no","yes","yes",5,4,4,1,1,5,"mother","no",2,"yes",0,8,7,8,"no",0,12,11,11
"76","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","yes","yes",1,0,"no","no","yes","yes",5,2,3,1,3,3,"mother","no",4,"yes",0,11,11,11,"no",1,13,13,13
"77","GP","F",16,"U","GT3","T",2,2,"services","other","reputation","no","yes",2,0,"no","yes","yes","no",3,4,4,1,4,5,"mother","no",2,"yes",2,13,13,11,"no",0,13,12,14
"78","GP","F",16,"U","GT3","T",2,2,"services","services","home","no","yes",1,0,"no","no","yes","no",1,2,2,1,3,5,"mother","yes",1,NA,NA,NA,NA,NA,"no",6,10,11,12
"79","GP","F",16,"U","GT3","T",2,2,"services","services","home","no","yes",1,2,"no","no","yes","no",1,2,2,1,3,5,"mother","yes",1,"yes",14,6,9,8,NA,NA,NA,NA,NA
"80","GP","F",16,"U","GT3","T",2,3,"other","other","reputation","yes","no",1,0,"yes","yes","yes","no",4,4,3,1,3,4,"mother","yes",2,"yes",6,8,10,10,"no",4,11,12,12
"81","GP","F",16,"U","GT3","T",2,3,"services","services","course","yes","yes",1,0,"no","no","yes","no",4,3,3,1,1,2,"mother","no",2,"no",10,11,12,13,"no",6,12,12,13
"82","GP","F",16,"U","GT3","T",2,3,"services","teacher","other","yes","yes",1,0,"yes","no","yes","no",2,3,1,1,1,3,"mother","no",2,"no",2,16,16,17,"no",0,13,13,14
"83","GP","F",16,"U","GT3","T",3,1,"services","other","course","yes","yes",1,0,"yes","no","yes","no",4,3,3,1,2,5,"mother","yes",4,"yes",4,7,7,6,"no",0,10,9,10
"84","GP","F",16,"U","GT3","T",3,2,"other","other","reputation","yes","yes",1,0,"no","no","yes","no",1,2,2,1,2,1,"mother","yes",2,"yes",14,12,13,12,"no",8,14,15,16
"85","GP","F",16,"U","GT3","T",3,3,"other","other","home","yes","no",1,0,"no","no","yes","no",4,3,2,1,2,5,"father","yes",2,"yes",4,6,10,10,"no",0,11,13,13
"86","GP","F",16,"U","GT3","T",3,3,"other","other","home","yes","yes",1,0,"no","no","yes","yes",4,3,3,1,3,4,"mother","yes",3,"yes",0,7,7,8,"no",2,9,11,11
"87","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","yes","no",3,0,"yes","yes","yes","no",5,3,2,1,1,4,"mother","yes",2,"no",4,8,10,10,"no",2,13,14,14
"88","GP","F",16,"U","GT3","T",3,3,"other","services","home","yes","yes",1,0,"yes","yes","yes","no",4,3,3,2,4,5,"mother","yes",2,"yes",54,11,12,11,"no",4,11,11,11
"89","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","yes","yes",1,0,"no","no","yes","no",2,4,3,1,2,3,"mother","yes",2,"no",12,5,5,5,"no",14,12,11,11
"90","GP","F",16,"U","GT3","T",4,2,"health","services","home","yes","yes",1,0,"no","no","yes","yes",4,2,3,1,1,3,"father","no",2,"yes",0,14,15,16,"no",0,17,17,18
"91","GP","F",16,"U","GT3","T",4,2,"services","other","course","yes","yes",1,0,"no","no","yes","no",4,2,3,1,1,5,"mother","yes",2,"no",2,15,16,16,"yes",2,16,15,16
"92","GP","F",16,"U","GT3","T",4,2,"teacher","services","home","yes","yes",2,0,"no","yes","yes","no",5,3,3,1,1,1,"mother","yes",2,"yes",0,11,10,10,"no",2,13,14,14
"93","GP","F",16,"U","GT3","T",4,3,"health","other","home","yes","yes",1,0,"no","yes","yes","no",4,3,5,1,5,2,"mother","yes",2,"no",2,16,16,16,"no",2,14,14,15
"94","GP","F",16,"U","GT3","T",4,3,"other","at_home","course","yes","yes",1,0,"yes","no","yes","no",5,3,5,1,1,3,"mother","yes",3,"yes",0,7,9,8,"no",2,12,13,13
"95","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","yes","yes",1,0,"yes","yes","yes","no",3,4,4,2,4,4,"mother","yes",3,"yes",2,10,9,9,"no",0,14,13,13
"96","GP","F",16,"U","GT3","T",4,3,"teacher","other","other","yes","yes",1,0,"no","yes","yes","yes",1,3,2,1,1,1,"mother","no",2,"yes",10,11,12,13,"no",4,14,15,15
"97","GP","F",16,"U","GT3","T",4,4,"health","health","reputation","yes","yes",1,0,"no","no","yes","yes",4,4,2,1,1,3,"mother","yes",2,"yes",0,14,14,14,"no",0,16,16,17
"98","GP","F",16,"U","GT3","T",4,4,"health","other","home","yes","yes",1,0,"no","no","yes","no",4,4,4,1,2,2,"mother","yes",1,"no",4,14,14,14,"no",6,17,17,17
"99","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","no","yes",1,0,"no","yes","yes","no",5,3,4,1,2,1,"mother","no",1,"no",6,11,14,14,"no",4,12,13,13
"100","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","yes","yes",1,0,"no","yes","yes","no",3,2,3,1,2,2,"mother","yes",3,"yes",6,13,14,14,"no",10,13,13,14
"101","GP","F",16,"U","GT3","T",4,4,"teacher","services","home","no","yes",1,0,"no","yes","yes","no",5,3,2,1,1,5,"mother","yes",3,"no",0,13,13,14,"no",4,15,16,16
"102","GP","F",16,"U","LE3","A",3,3,"other","services","home","yes","yes",1,0,"no","no","yes","no",2,3,5,1,4,3,"mother","yes",2,"no",12,11,12,11,"no",6,13,12,13
"103","GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","yes","yes",1,0,"no","no","yes","no",3,4,4,3,3,1,"mother","no",1,"no",2,14,14,13,"no",4,10,11,11
"104","GP","F",16,"U","LE3","T",1,2,"other","services","reputation","yes","yes",1,0,"yes","yes","yes","no",4,4,3,1,1,1,"father","no",2,"no",4,8,10,9,"no",0,13,13,10
"105","GP","F",16,"U","LE3","T",2,2,"at_home","other","course","yes","no",1,0,"no","no","yes","no",4,3,4,1,2,2,"mother","yes",2,"no",4,8,7,6,"no",6,13,11,11
"106","GP","F",16,"U","LE3","T",2,2,"other","at_home","course","yes","yes",2,1,"yes","yes","yes","no",4,3,3,2,2,5,"father","no",2,"no",14,10,10,9,"no",14,10,11,11
"107","GP","F",16,"U","LE3","T",2,2,"other","other","home","no","yes",2,0,"no","yes","yes","yes",3,3,3,1,2,3,"mother","yes",2,NA,NA,NA,NA,NA,"no",16,11,11,10
"108","GP","F",16,"U","LE3","T",2,2,"other","other","home","no","yes",2,1,"no","yes","yes","yes",3,3,3,1,2,3,"mother","yes",2,"no",25,7,10,11,NA,NA,NA,NA,NA
"109","GP","F",16,"U","LE3","T",2,2,"services","services","course","yes","yes",3,0,"no","no","yes","no",4,3,3,2,3,4,"mother","yes",2,"yes",2,12,13,13,"no",0,14,13,13
"110","GP","F",16,"U","LE3","T",2,4,"other","health","course","yes","yes",2,0,"no","yes","yes","yes",4,2,2,1,2,5,"father","yes",2,"yes",2,13,13,13,"no",2,14,12,13
"111","GP","F",16,"U","LE3","T",3,1,"other","other","home","yes","no",1,0,"yes","no","yes","no",3,3,3,2,3,2,"father","yes",2,"no",4,7,6,6,"no",0,12,13,12
"112","GP","F",16,"U","LE3","T",3,3,"other","other","reputation","yes","yes",2,0,"no","yes","yes","no",4,4,5,1,1,4,"mother","yes",2,"yes",4,10,11,9,"no",0,14,14,15
"113","GP","F",16,"U","LE3","T",4,3,"teacher","services","course","yes","yes",3,0,"no","yes","yes","no",5,4,3,1,2,1,"mother","yes",2,"no",2,16,15,15,"no",2,16,15,16
"114","GP","F",16,"U","LE3","T",4,4,"health","health","other","yes","yes",1,0,"no","yes","yes","yes",5,4,5,1,1,4,"mother","yes",3,"yes",4,14,15,16,"no",2,15,15,14
"115","GP","F",16,"U","LE3","T",4,4,"teacher","teacher","reputation","yes","yes",1,0,"no","no","yes","no",4,5,2,1,2,3,"mother","yes",2,"yes",0,9,9,10,"no",0,11,10,11
"116","GP","F",17,"R","GT3","A",3,2,"other","other","home","yes","yes",1,0,"no","no","yes","no",4,3,3,2,3,2,"mother","yes",2,"yes",4,9,10,10,"no",0,14,14,16
"117","GP","F",17,"R","GT3","T",2,1,"at_home","services","course","yes","no",3,0,"no","yes","yes","no",2,1,1,1,1,3,"mother","no",2,"no",2,13,11,11,"no",2,13,13,13
"118","GP","F",17,"R","GT3","T",2,1,"at_home","services","reputation","yes","yes",2,0,"no","yes","yes","no",4,2,5,1,2,5,"mother","yes",2,"no",2,6,6,6,"no",0,11,10,11
"119","GP","F",17,"R","GT3","T",2,2,"other","other","reputation","yes","yes",1,0,"no","no","yes","no",5,3,2,1,2,3,"mother","yes",1,"no",18,7,6,6,"no",21,13,13,13
"120","GP","F",17,"R","GT3","T",2,4,"at_home","other","course","yes","yes",1,0,"no","no","yes","yes",4,4,3,1,1,5,"father","yes",3,"no",7,12,14,14,"no",0,15,15,15
"121","GP","F",17,"R","GT3","T",3,4,"at_home","services","course","no","yes",1,0,"no","yes","yes","no",4,3,4,2,5,5,"father","yes",3,"yes",0,11,11,10,"no",2,15,15,17
"122","GP","F",17,"R","GT3","T",4,2,"other","other","course","yes","yes",1,0,"no","yes","yes","no",4,3,4,1,3,5,"mother","yes",3,NA,NA,NA,NA,NA,"no",2,11,12,14
"123","GP","F",17,"R","GT3","T",4,3,"teacher","other","reputation","yes","yes",2,0,"no","yes","yes","yes",4,4,2,1,1,4,"mother","yes",3,"yes",6,7,7,7,"no",0,11,12,12
"124","GP","F",17,"R","GT3","T",4,4,"services","services","reputation","yes","yes",2,0,"no","yes","yes","no",5,3,4,1,1,5,"mother","yes",3,NA,NA,NA,NA,NA,"no",0,7,7,8
"125","GP","F",17,"R","GT3","T",4,4,"teacher","teacher","course","yes","yes",1,0,"no","yes","yes","no",4,4,4,1,1,5,"mother","no",1,NA,NA,NA,NA,NA,"no",2,15,16,17
"126","GP","F",17,"R","LE3","A",1,4,"other","other","course","yes","yes",4,1,"no","no","yes","no",5,5,4,1,1,5,"other","yes",1,NA,NA,NA,NA,NA,"no",14,9,9,8
"127","GP","F",17,"R","LE3","T",1,1,"at_home","other","course","yes","yes",2,0,"no","yes","yes","no",4,3,3,1,3,5,"mother","no",3,NA,NA,NA,NA,NA,"no",4,15,14,15
"128","GP","F",17,"R","LE3","T",2,2,"services","services","course","yes","yes",1,0,"no","yes","yes","no",3,3,2,2,2,3,"mother","yes",3,"yes",3,11,11,11,"no",0,11,11,10
"129","GP","F",17,"R","LE3","T",3,1,"services","other","reputation","yes","no",2,0,"no","no","yes","no",3,1,2,1,1,3,"mother","yes",4,"yes",6,18,18,18,"no",0,18,19,19
"130","GP","F",17,"R","LE3","T",4,4,"services","other","other","yes","no",1,0,"no","no","yes","no",5,2,1,1,2,3,"mother","yes",1,"yes",12,8,10,10,"no",6,12,11,11
"131","GP","F",17,"U","GT3","A",2,1,"other","other","course","yes","yes",2,0,"no","yes","yes","yes",3,2,3,1,2,3,"mother","no",3,"no",10,12,10,12,"no",0,15,15,16
"132","GP","F",17,"U","GT3","A",2,2,"at_home","at_home","home","yes","yes",1,0,"no","no","yes","yes",3,3,1,1,2,4,"father","yes",2,NA,NA,NA,NA,NA,"no",18,10,12,14
"133","GP","F",17,"U","GT3","A",2,2,"at_home","at_home","home","yes","yes",1,1,"no","no","yes","yes",3,3,1,1,2,4,"father","yes",2,"no",0,9,8,0,NA,NA,NA,NA,NA
"134","GP","F",17,"U","GT3","A",3,3,"health","other","reputation","no","yes",1,0,"no","no","yes","yes",3,3,3,1,3,3,"mother","yes",2,"no",6,8,7,9,"no",10,12,13,14
"135","GP","F",17,"U","GT3","A",4,3,"services","services","course","yes","yes",1,0,"no","no","yes","yes",5,2,2,1,2,5,"mother","yes",2,"yes",23,13,13,13,"no",14,15,14,17
"136","GP","F",17,"U","GT3","A",4,4,"other","teacher","home","yes","no",2,0,"yes","no","yes","no",4,1,4,1,1,1,"mother","yes",2,"no",6,6,5,6,"no",2,10,13,13
"137","GP","F",17,"U","GT3","T",1,1,"at_home","other","course","no","no",1,0,"yes","no","yes","yes",4,3,2,1,1,4,"mother","no",2,NA,NA,NA,NA,NA,"no",10,10,9,10
"138","GP","F",17,"U","GT3","T",1,1,"at_home","other","course","no","yes",1,0,"no","no","yes","no",5,3,3,1,1,3,"father","yes",2,"no",4,5,5,6,"no",2,9,11,11
"139","GP","F",17,"U","GT3","T",1,1,"at_home","other","reputation","yes","no",1,0,"no","yes","yes","yes",4,3,4,1,1,5,"mother","yes",3,NA,NA,NA,NA,NA,"no",12,12,12,12
"140","GP","F",17,"U","GT3","T",1,1,"at_home","other","reputation","yes","no",1,1,"no","yes","yes","yes",4,3,4,1,1,5,"mother","yes",3,"no",0,6,5,0,NA,NA,NA,NA,NA
"141","GP","F",17,"U","GT3","T",1,1,"at_home","services","course","yes","yes",1,0,"no","yes","yes","no",5,3,3,1,1,3,"mother","no",2,"no",0,8,8,9,"no",0,12,11,12
